"depth" "PotTemperature" "Salinity" "Station"
-20 1.11855 34.275395 "175"
-25 0.928275 34.2939 "175"
-35 -0.314835 34.41801 "175"
-45 -0.921715 34.51821 "175"
-60 0.1513 34.703375 "175"
-65 0.49971 34.72715 "175"
-75 1.17142 34.800365 "175"
-90 1.23308 34.820835 "175"
-110 1.12565 34.81785 "175"
-150 1.52347 34.87593 "175"
-199 1.46446941176471 34.8811547058824 "175"
-200 1.4676175 34.88146375 "175"
-398 NA NA "175"
0 1.325533 34.142392 "178"
-5 1.325533 34.142392 "178"
-10 1.317683 34.146592 "178"
-20 1.172658 34.21335 "178"
-25 0.725383 34.266433 "178"
-30 0.28555 34.3549 "178"
-50 -0.64815 34.513092 "178"
-60 -0.832783 34.559008 "178"
-75 -0.769517 34.630425 "178"
-80 -0.767258 34.644783 "178"
-100 -0.7778 34.696733 "178"
-140 -0.823225 34.763583 "178"
-150 -0.8339 34.7847 "178"
-200 -0.616617 34.875617 "178"
-220 -0.6 34.9033 "178"
0 2.50765 22.980169 "180"
-5 2.50765 22.980169 "180"
-10 -0.391038 29.037012 "180"
-20 -1.023625 33.092992 "180"
-30 -1.534092 33.646092 "180"
-35 -1.2931 34.1915 "180"
-5 -1.649837 32.950844 "188"
-8 -1.656762 32.953756 "188"
-10 -1.67265 32.959419 "188"
-13 -1.681306 32.986919 "188"
-15 -1.681156 33.065344 "188"
-17 -1.647569 33.436706 "188"
-18 -1.623256 33.651131 "188"
-20 -1.576275 34.026019 "188"
-23 -1.476144 34.3771 "188"
-28 -1.444275 34.439725 "188"
0 0.10137 28.82053 "189"
-5 0.102271851851852 28.8152790277778 "189"
-10 -0.287455 31.379285 "189"
-20 -0.579507556818182 32.7433969886364 "189"
-30 -1.152525 33.64992 "189"
-35 -1.53831 33.76046 "189"
-60 -1.62102 34.22888 "189"
-80 -1.498405 34.390015 "189"
-95 -1.297275 34.45937 "189"
-115 -0.63486 34.56449 "189"
-125 -0.117895 34.639065 "189"
-150 0.552705 34.725315 "189"
-198 1.39909 34.84211 "189"
-200 1.3579 34.84894 "189"
-299 1.57854 34.92558 "189"
-300 1.608081 34.926369 "189"
-398 1.148075 34.920567 "189"
-400 1.1723448 34.9230598 "189"
-500 0.916613 34.93065 "189"
-600 0.535213 34.918413 "189"
-700 0.363563 34.917812 "189"
-800 0.205448666666667 34.917876 "189"
-998 -0.249267 34.896117 "189"
-1000 -0.274305666666667 34.8935423333333 "189"
0 2.4531 29.0291 "193"
-5 2.4531 29.0291 "193"
-10 2.4533 29.0293 "193"
-20 2.4916 30.466325 "193"
-34 NA NA "193"
-4 -0.585342 27.442 "194"
-5 -0.585342 27.442 "194"
-9 -0.171308 28.331975 "194"
-20 0.744175 29.99375 "194"
-30 -0.38105 31.1118 "194"
-35 -0.988567 31.56495 "194"
-40 -1.473358 31.8392 "194"
-49 -1.536692 32.1336 "194"
-60 -1.5762 32.472792 "194"
-75 -1.56845 32.7572 "194"
0 2.5691 28.60925 "196"
